order_id,order_date,customer_id,customer_segment,region,category,product,quantity,unit_price,discount_pct,revenue
ORD102495,2023-01-06,CUST0728,Loyal,North,Sports,Dumbbell Set,1,1616.6,0,1616.6
ORD103126,2023-01-06,CUST0342,New,South,Beauty,Perfume,2,860.36,10,1548.65
ORD101617,2023-01-07,CUST0714,New,East,Apparel,Denim Jacket,1,1185.88,20,948.7
ORD102777,2023-01-07,CUST0070,New,North,Home & Kitchen,Mixer Grinder,2,655.93,20,1049.49
ORD103053,2023-01-07,CUST0494,Loyal,North,Sports,Cricket Bat,1,1971.01,0,1971.01
ORD100016,2023-01-07,CUST0306,Returning,West,Apparel,Backpack,2,502.18,15,853.71
ORD102099,2023-01-07,CUST0117,Returning,West,Home & Kitchen,Air Fryer,2,3044.22,0,6088.44
ORD103202,2023-01-08,CUST0630,New,South,Home & Kitchen,Table Lamp,2,2633.2,0,5266.4
ORD101857,2023-01-08,CUST0781,Returning,West,Sports,Yoga Mat,2,579.02,0,1158.04
ORD103199,2023-01-08,CUST0777,New,Central,Beauty,Hair Dryer,4,358.88,20,1148.42
ORD101893,2023-01-08,CUST0543,Returning,North,Beauty,Sunscreen SPF50,5,672.32,15,2857.36
ORD103942,2023-01-08,CUST0518,New,East,Apparel,Backpack,1,1205.57,0,1205.57
ORD101294,2023-01-08,CUST0526,Returning,North,Home & Kitchen,Table Lamp,1,2861.63,20,2289.3
ORD100290,2023-01-08,CUST0844,Returning,East,Electronics,Bluetooth Speaker,1,2426.86,5,2305.52
ORD102834,2023-01-08,CUST0522,Returning,North,Sports,Dumbbell Set,1,2610.04,10,2349.04
ORD103215,2023-01-09,CUST0141,Returning,West,Electronics,Smartwatch,2,3416.44,0,6832.88
ORD100911,2023-01-09,CUST0604,Loyal,Central,Electronics,Smartwatch,4,2608.98,15,8870.53
ORD103178,2023-01-09,CUST0509,Returning,North,Electronics,Power Bank,1,4324.06,5,4107.86
ORD103496,2023-01-09,CUST0474,Returning,North,Home & Kitchen,Air Fryer,3,972.62,20,2334.29
ORD103375,2023-01-09,CUST0136,Returning,East,Home & Kitchen,Table Lamp,1,1210.12,0,1210.12
ORD102554,2023-01-09,CUST0217,New,North,Apparel,Backpack,2,512.92,5,974.55
ORD100762,2023-01-09,CUST0048,Returning,West,Apparel,Cotton T-Shirt,1,465.44,5,442.17
ORD101406,2023-01-10,CUST0541,Loyal,North,Beauty,Hair Dryer,3,199.96,10,539.89
ORD100493,2023-01-10,CUST0776,New,North,Electronics,Laptop Stand,2,950.68,0,1901.36
ORD100353,2023-01-10,CUST0105,Returning,North,Home & Kitchen,Non-stick Pan Set,2,2628.82,10,4731.88
ORD103928,2023-01-10,CUST0347,New,North,Electronics,Bluetooth Speaker,4,2797.46,0,11189.84
ORD100491,2023-01-10,CUST0502,Returning,North,Beauty,Hair Dryer,3,927.98,0,2783.94
ORD100853,2023-01-11,CUST0436,Returning,North,Beauty,Face Serum,3,1187.62,0,3562.86
ORD100267,2023-01-11,CUST0667,Loyal,South,Sports,Dumbbell Set,1,2665.6,5,2532.32
ORD102499,2023-01-11,CUST0188,Returning,East,Electronics,Wireless Earbuds,1,4184.69,10,3766.22
ORD101041,2023-01-11,CUST0732,Loyal,Central,Beauty,Hair Dryer,1,1485.15,10,1336.64
ORD103392,2023-01-11,CUST0778,Returning,South,Electronics,Power Bank,2,3320.34,20,5312.54
ORD103811,2023-01-11,CUST0540,Returning,West,Electronics,Bluetooth Speaker,2,1771.24,20,2833.98
ORD101412,2023-01-11,CUST0077,New,Central,Electronics,Bluetooth Speaker,4,1072.81,0,4291.24
ORD102488,2023-01-12,CUST0344,Loyal,Central,Sports,Cricket Bat,2,2405.9,0,4811.8
ORD100990,2023-01-12,CUST0752,Loyal,East,Apparel,Cotton T-Shirt,6,917.34,15,4678.43
ORD101270,2023-01-12,CUST0762,New,North,Apparel,Running Shoes,1,553.99,5,526.29
ORD100751,2023-01-13,CUST0180,Returning,South,Electronics,Bluetooth Speaker,4,3117.58,0,12470.32
ORD103465,2023-01-13,CUST0383,Returning,Central,Apparel,Denim Jacket,1,1180.92,0,1180.92
ORD102861,2023-01-13,CUST0845,Returning,South,Beauty,Hair Dryer,1,1477.39,0,1477.39
ORD100167,2023-01-13,CUST0032,Returning,East,Home & Kitchen,Non-stick Pan Set,2,797.25,15,1355.33
ORD101172,2023-01-13,CUST0210,New,North,Electronics,Power Bank,4,3183.72,0,12734.88
ORD103919,2023-01-14,CUST0374,Returning,Central,Apparel,Running Shoes,2,2187.38,0,4374.76
ORD100313,2023-01-14,CUST0224,New,West,Beauty,Sunscreen SPF50,2,1104.68,0,2209.36
ORD100739,2023-01-14,CUST0051,Returning,North,Home & Kitchen,Table Lamp,4,2696.34,0,10785.36
ORD103156,2023-01-15,CUST0744,New,Central,Beauty,Lip Balm Set,2,526.0,5,999.4
ORD101746,2023-01-15,CUST0067,Loyal,South,Beauty,Lip Balm Set,2,628.82,0,1257.64
ORD101082,2023-01-15,CUST0566,New,North,Home & Kitchen,Mixer Grinder,3,1800.91,0,5402.73
ORD102316,2023-01-15,CUST0533,New,North,Apparel,Backpack,4,315.42,0,1261.68
ORD102360,2023-01-16,CUST0416,New,North,Home & Kitchen,Electric Kettle,4,447.21,0,1788.84
ORD101938,2023-01-16,CUST0207,New,North,Sports,Cricket Bat,1,1318.15,20,1054.52
ORD101275,2023-01-17,CUST0633,Returning,South,Beauty,Lip Balm Set,2,1177.21,0,2354.42
ORD102772,2023-01-17,CUST0813,Returning,North,Apparel,Running Shoes,3,1553.82,5,4428.39
ORD101556,2023-01-17,CUST0272,Loyal,East,Home & Kitchen,Non-stick Pan Set,1,1016.59,0,1016.59
ORD101079,2023-01-18,CUST0021,New,South,Electronics,Power Bank,2,933.71,15,1587.31
ORD102203,2023-01-18,CUST0110,New,North,Electronics,Smartwatch,1,3818.47,10,3436.62
ORD102550,2023-01-18,CUST0475,Returning,South,Home & Kitchen,Mixer Grinder,3,617.67,5,1760.36
ORD103028,2023-01-18,CUST0416,Returning,North,Electronics,Laptop Stand,1,3289.28,15,2795.89
ORD100477,2023-01-19,CUST0623,Returning,East,Beauty,Sunscreen SPF50,1,161.43,0,161.43
ORD102680,2023-01-20,CUST0210,Returning,North,Home & Kitchen,Air Fryer,2,3176.22,0,6352.44
ORD101433,2023-01-20,CUST0484,Returning,Central,Sports,Cricket Bat,3,1592.85,0,4778.55
ORD100409,2023-01-20,CUST0107,New,West,Apparel,Cotton T-Shirt,2,1702.36,0,3404.72
ORD101196,2023-01-20,CUST0100,New,West,Electronics,Bluetooth Speaker,1,2996.8,0,2996.8
ORD100360,2023-01-20,CUST0507,New,North,Beauty,Sunscreen SPF50,5,908.14,15,3859.59
ORD101309,2023-01-20,CUST0143,New,West,Electronics,Laptop Stand,2,3446.84,0,6893.68
ORD101401,2023-01-20,CUST0239,New,West,Apparel,Cotton T-Shirt,1,1378.19,0,1378.19
ORD100320,2023-01-20,CUST0098,Returning,East,Home & Kitchen,Air Fryer,1,2596.25,10,2336.62
ORD102681,2023-01-21,CUST0752,New,North,Home & Kitchen,Air Fryer,2,1711.65,0,3423.3
ORD102950,2023-01-21,CUST0016,Returning,West,Apparel,Cotton T-Shirt,1,1838.03,20,1470.42
ORD100907,2023-01-22,CUST0687,New,Central,Electronics,Wireless Earbuds,1,4144.23,0,4144.23
ORD103904,2023-01-22,CUST0760,Returning,North,Sports,Resistance Bands,5,1703.17,0,8515.85
ORD100810,2023-01-22,CUST0360,New,North,Electronics,Wireless Earbuds,3,1274.07,5,3631.1
ORD101150,2023-01-22,CUST0497,New,West,Apparel,Cotton T-Shirt,3,1573.56,5,4484.65
ORD101257,2023-01-22,CUST0694,New,Central,Beauty,Perfume,1,822.04,15,698.73
ORD101885,2023-01-22,CUST0037,New,South,Sports,Yoga Mat,3,1542.83,5,4397.07
ORD102252,2023-01-22,CUST0116,New,West,Home & Kitchen,Non-stick Pan Set,1,857.47,5,814.6
ORD103854,2023-01-23,CUST0448,New,West,Electronics,Power Bank,3,2211.14,15,5638.41
ORD103062,2023-01-23,CUST0576,Returning,South,Sports,Cricket Bat,1,2036.98,20,1629.58
ORD102986,2023-01-23,CUST0188,New,East,Electronics,Bluetooth Speaker,2,2387.77,5,4536.76
ORD101989,2023-01-23,CUST0600,New,East,Apparel,Cotton T-Shirt,2,1296.67,0,2593.34
ORD101382,2023-01-24,CUST0586,Returning,North,Sports,Dumbbell Set,1,2781.63,0,2781.63
ORD100277,2023-01-24,CUST0164,New,West,Apparel,Denim Jacket,2,524.63,0,1049.26
ORD102171,2023-01-24,CUST0776,Returning,West,Electronics,Wireless Earbuds,1,1201.08,0,1201.08
ORD101128,2023-01-25,CUST0233,Loyal,Central,Beauty,Perfume,1,1318.38,0,1318.38
ORD101307,2023-01-25,CUST0660,New,South,Sports,Yoga Mat,1,2523.05,20,2018.44
ORD102530,2023-01-25,CUST0220,New,North,Home & Kitchen,Table Lamp,1,752.96,0,752.96
ORD103470,2023-01-25,CUST0803,New,South,Beauty,Sunscreen SPF50,3,339.84,20,815.62
ORD101665,2023-01-26,CUST0761,Loyal,South,Apparel,Denim Jacket,6,588.38,20,2824.22
ORD101515,2023-01-26,CUST0455,New,East,Electronics,Bluetooth Speaker,3,1852.26,0,5556.78
ORD103030,2023-01-27,CUST0584,New,West,Electronics,Smartwatch,2,1884.7,0,3769.4
ORD103439,2023-01-27,CUST0717,Returning,South,Electronics,Laptop Stand,1,1604.92,10,1444.43
ORD101180,2023-01-27,CUST0383,Loyal,East,Sports,Cricket Bat,2,2835.78,15,4820.83
ORD100543,2023-01-27,CUST0231,Returning,East,Apparel,Running Shoes,1,1953.22,20,1562.58
ORD103652,2023-01-27,CUST0713,Returning,South,Beauty,Face Serum,2,404.51,15,687.67
ORD102535,2023-01-27,CUST0061,Loyal,East,Electronics,Power Bank,2,4171.8,10,7509.24
ORD102564,2023-01-27,CUST0713,Loyal,East,Home & Kitchen,Air Fryer,4,1175.6,15,3997.04
ORD101432,2023-01-27,CUST0175,New,South,Beauty,Lip Balm Set,2,506.17,0,1012.34
ORD103557,2023-01-28,CUST0395,New,North,Beauty,Sunscreen SPF50,4,503.27,0,2013.08
ORD101572,2023-01-28,CUST0497,Returning,West,Electronics,Wireless Earbuds,1,2705.4,20,2164.32
ORD103554,2023-01-28,CUST0586,Returning,South,Electronics,Laptop Stand,1,2676.27,0,2676.27
ORD101953,2023-01-28,CUST0289,Loyal,East,Sports,Yoga Mat,1,2660.03,15,2261.03
ORD102850,2023-01-29,CUST0053,New,North,Apparel,Running Shoes,2,1313.78,10,2364.8
ORD102259,2023-01-29,CUST0187,Loyal,West,Home & Kitchen,Air Fryer,2,2049.18,20,3278.69
ORD100970,2023-01-29,CUST0122,Loyal,West,Sports,Football,1,2524.96,5,2398.71
ORD102983,2023-01-29,CUST0063,New,North,Electronics,Bluetooth Speaker,2,2683.64,0,5367.28
ORD100910,2023-01-29,CUST0551,Loyal,West,Sports,Dumbbell Set,1,722.38,20,577.9
ORD101157,2023-01-30,CUST0817,New,West,Apparel,Running Shoes,3,2121.62,0,6364.86
ORD103241,2023-01-30,CUST0694,Returning,East,Sports,Cricket Bat,2,862.62,0,1725.24
ORD101368,2023-01-30,CUST0128,Loyal,North,Apparel,Denim Jacket,1,1253.96,20,1003.17
ORD103321,2023-01-31,CUST0416,Returning,North,Beauty,Perfume,2,211.21,15,359.06
ORD103095,2023-02-01,CUST0468,Loyal,East,Sports,Yoga Mat,2,910.3,0,1820.6
ORD103787,2023-02-01,CUST0263,New,North,Home & Kitchen,Table Lamp,1,2527.8,15,2148.63
ORD100323,2023-02-02,CUST0307,Loyal,North,Home & Kitchen,Table Lamp,2,2698.53,0,5397.06
ORD103778,2023-02-02,CUST0187,New,South,Beauty,Face Serum,1,1218.25,20,974.6
ORD101748,2023-02-02,CUST0132,Loyal,North,Apparel,Denim Jacket,5,636.98,0,3184.9
ORD103055,2023-02-02,CUST0438,Returning,West,Electronics,Laptop Stand,1,1179.55,15,1002.62
ORD102687,2023-02-03,CUST0300,Loyal,West,Electronics,Power Bank,3,3282.9,0,9848.7
ORD101203,2023-02-04,CUST0622,Returning,Central,Apparel,Cotton T-Shirt,1,1588.07,0,1588.07
ORD102121,2023-02-04,CUST0699,New,West,Beauty,Sunscreen SPF50,1,1146.11,20,916.89
ORD102354,2023-02-04,CUST0368,New,Central,Electronics,Smartwatch,2,1891.66,5,3594.15
ORD103553,2023-02-04,CUST0349,New,North,Home & Kitchen,Table Lamp,1,2447.04,0,2447.04
ORD102798,2023-02-04,CUST0722,Returning,West,Sports,Dumbbell Set,1,1186.05,0,1186.05
ORD102233,2023-02-05,CUST0146,Loyal,Central,Apparel,Cotton T-Shirt,2,1985.84,0,3971.68
ORD102371,2023-02-05,CUST0458,Returning,North,Sports,Football,1,1702.34,0,1702.34
ORD102031,2023-02-05,CUST0802,New,West,Home & Kitchen,Table Lamp,2,684.23,20,1094.77
ORD102898,2023-02-05,CUST0143,Returning,North,Electronics,Bluetooth Speaker,2,4472.97,10,8051.35
ORD102496,2023-02-06,CUST0420,New,East,Electronics,Wireless Earbuds,2,3434.86,0,6869.72
ORD100926,2023-02-06,CUST0386,New,Central,Electronics,Power Bank,2,2520.42,20,4032.67
ORD103999,2023-02-06,CUST0228,Returning,North,Beauty,Perfume,2,1204.44,10,2167.99
ORD103836,2023-02-06,CUST0514,Returning,East,Sports,Cricket Bat,1,2540.38,0,2540.38
ORD100707,2023-02-07,CUST0291,Returning,Central,Beauty,Perfume,3,494.87,0,1484.61
ORD102704,2023-02-07,CUST0013,Returning,West,Apparel,Backpack,2,1438.52,0,2877.04
ORD102890,2023-02-07,CUST0332,Returning,West,Home & Kitchen,Electric Kettle,1,591.56,0,591.56
ORD102597,2023-02-07,CUST0842,Returning,East,Electronics,Laptop Stand,1,2684.46,10,2416.01
ORD103242,2023-02-08,CUST0443,Returning,West,Apparel,Backpack,3,385.8,15,983.79
ORD100498,2023-02-09,CUST0517,New,West,Home & Kitchen,Non-stick Pan Set,1,2455.41,10,2209.87
ORD101719,2023-02-09,CUST0330,New,West,Home & Kitchen,Non-stick Pan Set,2,2731.14,0,5462.28
ORD103080,2023-02-09,CUST0028,Returning,South,Electronics,Bluetooth Speaker,2,4422.22,5,8402.22
ORD100656,2023-02-09,CUST0276,New,Central,Home & Kitchen,Air Fryer,5,3122.53,0,15612.65
ORD100636,2023-02-10,CUST0590,Returning,South,Beauty,Face Serum,3,967.53,10,2612.33
ORD100071,2023-02-10,CUST0430,Loyal,East,Sports,Football,1,1071.18,5,1017.62
ORD102163,2023-02-11,CUST0596,Returning,South,Home & Kitchen,Mixer Grinder,8,1701.63,0,13613.04
ORD100209,2023-02-11,CUST0017,New,North,Beauty,Lip Balm Set,2,653.96,15,1111.73
ORD101862,2023-02-12,CUST0233,Returning,North,Beauty,Hair Dryer,4,1109.43,10,3993.95
ORD102034,2023-02-12,CUST0160,New,Central,Sports,Resistance Bands,2,709.25,5,1347.58
ORD100993,2023-02-12,CUST0158,Returning,South,Home & Kitchen,Non-stick Pan Set,1,2212.07,15,1880.26
ORD101016,2023-02-12,CUST0225,Returning,West,Home & Kitchen,Electric Kettle,1,1626.71,10,1464.04
ORD101804,2023-02-12,CUST0197,Returning,West,Sports,Football,1,1765.87,10,1589.28
ORD102539,2023-02-12,CUST0343,New,East,Electronics,Power Bank,2,3953.04,0,7906.08
ORD103462,2023-02-14,CUST0142,New,East,Sports,Football,2,2133.24,0,4266.48
ORD102413,2023-02-14,CUST0269,New,Central,Home & Kitchen,Electric Kettle,2,1245.85,0,2491.7
ORD100285,2023-02-14,CUST0434,Returning,West,Beauty,Hair Dryer,1,930.72,0,930.72
ORD101630,2023-02-14,CUST0485,Returning,South,Beauty,Perfume,3,737.21,5,2101.05
ORD103697,2023-02-15,CUST0083,Loyal,North,Beauty,Perfume,6,988.65,0,5931.9
ORD103821,2023-02-15,CUST0103,Returning,North,Beauty,Hair Dryer,1,909.48,10,818.53
ORD103406,2023-02-16,CUST0728,Returning,West,Beauty,Sunscreen SPF50,2,1382.18,15,2349.71
ORD100882,2023-02-16,CUST0404,Returning,West,Electronics,Laptop Stand,1,4347.45,10,3912.7
ORD102350,2023-02-16,CUST0591,New,East,Sports,Football,2,1177.18,0,2354.36
ORD100868,2023-02-16,CUST0431,Returning,Central,Apparel,Formal Shirt,1,550.85,0,550.85
ORD101231,2023-02-17,CUST0814,Returning,Central,Sports,Resistance Bands,1,2157.75,0,2157.75
ORD102230,2023-02-17,CUST0032,Returning,North,Sports,Football,4,1507.25,5,5727.55
ORD102995,2023-02-17,CUST0429,Returning,East,Beauty,Face Serum,2,556.83,0,1113.66
ORD101085,2023-02-17,CUST0657,Returning,North,Sports,Resistance Bands,1,1498.3,5,1423.38
ORD103555,2023-02-17,CUST0194,Loyal,South,Beauty,Perfume,5,368.77,20,1475.08
ORD103785,2023-02-17,CUST0287,Loyal,West,Electronics,Wireless Earbuds,2,2901.65,0,5803.3
ORD101341,2023-02-18,CUST0156,Loyal,East,Sports,Football,3,352.87,0,1058.61
ORD101983,2023-02-18,CUST0711,Returning,South,Beauty,Lip Balm Set,4,177.73,10,639.83
ORD100857,2023-02-19,CUST0380,Loyal,West,Beauty,Lip Balm Set,1,697.24,20,557.79
ORD102551,2023-02-20,CUST0166,Returning,North,Sports,Dumbbell Set,1,499.79,0,499.79
ORD102859,2023-02-21,CUST0812,Returning,West,Apparel,Denim Jacket,3,830.72,5,2367.55
ORD103407,2023-02-21,CUST0228,Returning,East,Home & Kitchen,Mixer Grinder,1,2269.38,0,2269.38
ORD103628,2023-02-21,CUST0538,Returning,East,Apparel,Denim Jacket,2,671.63,20,1074.61
ORD103882,2023-02-21,CUST0618,Returning,South,Sports,Resistance Bands,1,1664.6,0,1664.6
ORD101089,2023-02-21,CUST0319,Loyal,Central,Home & Kitchen,Mixer Grinder,1,951.26,0,951.26
ORD102602,2023-02-21,CUST0456,Loyal,West,Sports,Football,2,2505.98,0,5011.96
ORD101526,2023-02-22,CUST0521,New,North,Electronics,Laptop Stand,1,3476.76,15,2955.25
ORD101550,2023-02-22,CUST0534,Loyal,South,Apparel,Running Shoes,2,1110.35,5,2109.66
ORD102404,2023-02-22,CUST0575,New,East,Apparel,Formal Shirt,1,1143.5,0,1143.5
ORD101767,2023-02-22,CUST0564,Loyal,North,Sports,Dumbbell Set,2,2532.71,0,5065.42
ORD103698,2023-02-23,CUST0106,Loyal,North,Home & Kitchen,Table Lamp,1,2404.31,5,2284.09
ORD100166,2023-02-23,CUST0360,New,North,Sports,Cricket Bat,3,2346.63,0,7039.89
ORD101327,2023-02-23,CUST0609,New,North,Beauty,Hair Dryer,3,935.17,5,2665.23
ORD101377,2023-02-23,CUST0344,Returning,West,Home & Kitchen,Electric Kettle,1,2475.49,0,2475.49
ORD103442,2023-02-24,CUST0561,Loyal,East,Sports,Dumbbell Set,1,2032.01,5,1930.41
ORD101455,2023-02-24,CUST0595,Returning,West,Beauty,Face Serum,1,558.23,0,558.23
ORD101149,2023-02-24,CUST0039,Returning,South,Electronics,Power Bank,2,3980.78,5,7563.48
ORD100074,2023-02-25,CUST0336,Returning,North,Electronics,Power Bank,5,1081.02,5,5134.85
ORD102715,2023-02-25,CUST0552,New,North,Sports,Cricket Bat,2,544.17,15,925.09
ORD102215,2023-02-25,CUST0103,New,West,Beauty,Sunscreen SPF50,2,1419.42,0,2838.84
ORD100932,2023-02-25,CUST0058,New,North,Apparel,Formal Shirt,5,979.0,0,4895.0
ORD100340,2023-02-25,CUST0815,New,South,Beauty,Sunscreen SPF50,3,1085.33,20,2604.79
ORD100799,2023-02-25,CUST0259,Returning,North,Apparel,Formal Shirt,5,1917.75,0,9588.75
ORD100963,2023-02-26,CUST0205,Returning,East,Electronics,Smartwatch,2,1389.93,5,2640.87
ORD103362,2023-02-26,CUST0600,New,West,Electronics,Power Bank,1,3065.88,15,2606.0
ORD103331,2023-02-26,CUST0263,Loyal,West,Electronics,Laptop Stand,2,1309.94,0,2619.88
ORD101549,2023-02-26,CUST0501,Returning,Central,Sports,Yoga Mat,3,2447.23,0,7341.69
ORD103723,2023-02-26,CUST0272,Returning,South,Home & Kitchen,Mixer Grinder,2,1730.9,0,3461.8
ORD103491,2023-02-27,CUST0069,New,North,Apparel,Backpack,2,977.42,10,1759.36
ORD101977,2023-02-27,CUST0398,New,North,Sports,Football,3,1005.54,10,2714.96
ORD101336,2023-02-27,CUST0775,New,North,Home & Kitchen,Electric Kettle,1,993.35,0,993.35
ORD103266,2023-02-27,CUST0663,Loyal,East,Apparel,Cotton T-Shirt,4,489.56,10,1762.42
ORD103636,2023-02-27,CUST0412,Returning,North,Apparel,Backpack,1,2049.01,0,2049.01
ORD103298,2023-02-28,CUST0031,Returning,Central,Home & Kitchen,Mixer Grinder,1,3113.88,15,2646.8
ORD103421,2023-02-28,CUST0285,Returning,West,Beauty,Sunscreen SPF50,3,661.41,0,1984.23
ORD102797,2023-03-01,CUST0592,Returning,North,Electronics,Wireless Earbuds,1,2125.02,0,2125.02
ORD103166,2023-03-01,CUST0205,Returning,North,Home & Kitchen,Electric Kettle,1,1349.11,15,1146.74
ORD101940,2023-03-01,CUST0190,Returning,Central,Beauty,Perfume,1,1189.52,0,1189.52
ORD101067,2023-03-01,CUST0692,New,Central,Beauty,Sunscreen SPF50,5,898.0,10,4041.0
ORD100989,2023-03-01,CUST0609,Returning,West,Electronics,Power Bank,1,2534.6,0,2534.6
ORD100327,2023-03-02,CUST0191,New,East,Apparel,Formal Shirt,3,2088.17,5,5951.28
ORD101031,2023-03-02,CUST0087,Returning,West,Beauty,Sunscreen SPF50,2,848.42,0,1696.84
ORD100399,2023-03-02,CUST0643,New,North,Apparel,Formal Shirt,2,1653.41,10,2976.14
ORD101479,2023-03-02,CUST0588,Returning,North,Home & Kitchen,Electric Kettle,3,773.01,15,1971.18
ORD102773,2023-03-02,CUST0702,Loyal,South,Apparel,Formal Shirt,1,876.79,0,876.79
ORD100719,2023-03-02,CUST0653,New,Central,Apparel,Formal Shirt,2,1716.66,20,2746.66
ORD102470,2023-03-03,CUST0733,Returning,West,Sports,Resistance Bands,1,2455.6,5,2332.82
ORD101108,2023-03-03,CUST0369,Returning,North,Sports,Yoga Mat,3,1986.17,20,4766.81
ORD101610,2023-03-04,CUST0664,Returning,East,Beauty,Perfume,2,789.16,20,1262.66
ORD103386,2023-03-04,CUST0463,Returning,East,Apparel,Cotton T-Shirt,2,1687.89,5,3206.99
ORD101950,2023-03-04,CUST0594,New,North,Beauty,Sunscreen SPF50,5,466.98,20,1867.92
ORD101997,2023-03-05,CUST0657,Returning,East,Beauty,Face Serum,1,1199.01,20,959.21
ORD100756,2023-03-05,CUST0192,Loyal,East,Apparel,Formal Shirt,4,1384.87,5,5262.51
ORD100562,2023-03-05,CUST0559,New,East,Beauty,Sunscreen SPF50,3,677.84,20,1626.82
ORD101972,2023-03-05,CUST0433,New,West,Apparel,Formal Shirt,1,1324.13,0,1324.13
ORD100156,2023-03-05,CUST0455,Returning,West,Electronics,Power Bank,1,1288.66,15,1095.36
ORD101390,2023-03-06,CUST0006,Returning,Central,Electronics,Bluetooth Speaker,2,3110.42,10,5598.76
ORD103666,2023-03-07,CUST0652,New,East,Sports,Resistance Bands,1,545.93,5,518.63
ORD102544,2023-03-07,CUST0365,Loyal,East,Sports,Yoga Mat,2,2557.06,0,5114.12
ORD103419,2023-03-07,CUST0351,New,South,Apparel,Cotton T-Shirt,1,510.16,0,510.16
ORD102346,2023-03-07,CUST0449,Returning,West,Beauty,Sunscreen SPF50,1,1399.47,20,1119.58
ORD100010,2023-03-07,CUST0323,New,North,Apparel,Formal Shirt,1,2091.53,15,1777.8
ORD101331,2023-03-07,CUST0466,New,East,Sports,Dumbbell Set,1,2539.87,15,2158.89
ORD100677,2023-03-07,CUST0051,Returning,East,Sports,Football,1,2178.61,0,2178.61
ORD103890,2023-03-08,CUST0076,Loyal,East,Apparel,Formal Shirt,3,1997.18,0,5991.54
ORD100222,2023-03-08,CUST0079,Loyal,West,Sports,Dumbbell Set,3,1273.04,20,3055.3
ORD102989,2023-03-08,CUST0628,New,North,Beauty,Hair Dryer,2,622.22,15,1057.77
ORD103916,2023-03-09,CUST0545,Loyal,North,Beauty,Hair Dryer,1,900.18,0,900.18
ORD103061,2023-03-10,CUST0113,Loyal,South,Electronics,Smartwatch,1,1500.97,20,1200.78
ORD103002,2023-03-10,CUST0712,Loyal,East,Home & Kitchen,Mixer Grinder,3,2663.9,0,7991.7
ORD101482,2023-03-10,CUST0349,Returning,South,Home & Kitchen,Air Fryer,2,1930.43,0,3860.86
ORD100661,2023-03-10,CUST0485,New,West,Home & Kitchen,Mixer Grinder,1,2264.82,0,2264.82
ORD103363,2023-03-11,CUST0682,New,North,Electronics,Smartwatch,1,1878.83,5,1784.89
ORD101628,2023-03-11,CUST0487,Loyal,East,Apparel,Cotton T-Shirt,1,315.01,5,299.26
ORD101228,2023-03-11,CUST0669,New,South,Electronics,Smartwatch,1,3046.16,0,3046.16
ORD101928,2023-03-12,CUST0741,Returning,East,Apparel,Denim Jacket,3,1978.19,0,5934.57
ORD100425,2023-03-12,CUST0491,Returning,East,Sports,Resistance Bands,2,1621.95,10,2919.51
